bigram	count
('of', 'the')	240
('in', 'the')	87
('the', 'bourgeoisie')	67
('the', 'proletariat')	51
('to', 'the')	43
('by', 'the')	40
('for', 'the')	36
('of', 'production')	35
('with', 'the')	33
('the', 'bourgeois')	30
('conditions', 'of')	29
('against', 'the')	23
('of', 'society')	23
('of', 'all')	22
('means', 'of')	22
('on', 'the')	22
('is', 'the')	22
('the', 'old')	21
('and', 'of')	20
('from', 'the')	20
('the', 'communists')	19
('abolition', 'of')	19
('it', 'has')	19
('of', 'a')	19
('to', 'be')	19
('and', 'the')	18
('the', 'working')	18
('working', 'class')	18
('as', 'the')	18
('of', 'their')	16
('into', 'the')	16
('development', 'of')	16
('the', 'most')	16
('bourgeois', 'society')	15
('production', 'and')	15
('as', 'a')	15
('that', 'the')	15
('of', 'bourgeois')	14
('it', 'is')	14
('no', 'longer')	14
('the', 'modern')	13
('the', 'whole')	13
('the', 'conditions')	13
('of', 'this')	12
('of', 'industry')	12
('the', 'german')	12
('form', 'of')	12
('but', 'the')	12
('class', 'antagonisms')	11
('the', 'development')	11
('the', 'ruling')	11
('they', 'are')	11
('of', 'property')	11
('modern', 'industry')	11
('and', 'in')	11
('the', 'more')	11
('the', 'french')	11
('of', 'modern')	11
('and', 'more')	11
('all', 'the')	11
('the', 'other')	10
('instruments', 'of')	10
('of', 'labour')	10
('existence', 'of')	10
('in', 'its')	10
('which', 'the')	10
('ruling', 'class')	10
('in', 'a')	10
('state', 'of')	10
('is', 'to')	10
('the', 'same')	10
('of', 'existence')	10
('of', 'class')	9
('productive', 'forces')	9
('interests', 'of')	9
('in', 'order')	9
('the', 'abolition')	9
('in', 'proportion')	9
('that', 'is')	9
('the', 'proletarians')	9
('into', 'a')	9
('its', 'own')	9
('the', 'middle')	9
('their', 'own')	9
('proletariat', 'the')	8
('place', 'of')	8
('more', 'and')	8
('to', 'all')	8
('away', 'with')	8
('the', 'first')	8
('mode', 'of')	8
('bourgeoisie', 'in')	8
('of', 'these')	8
('exploitation', 'of')	8
('within', 'the')	8
('and', 'to')	8
('in', 'germany')	8
('proportion', 'as')	8
('of', 'exchange')	8
('modern', 'bourgeois')	8
('class', 'the')	8
('and', 'has')	7
('the', 'social')	7
('order', 'to')	7
('the', 'workers')	7
('not', 'only')	7
('of', 'women')	7
('under', 'the')	7
('and', 'that')	7
('the', 'class')	7
('at', 'the')	7
('by', 'means')	7
('of', 'socialism')	7
('bourgeois', 'property')	7
('middle', 'ages')	7
('a', 'class')	7
('the', 'existence')	7
('is', 'but')	7
('with', 'its')	7
('relations', 'of')	7
('the', 'hands')	7
('bourgeoisie', 'has')	7
('private', 'property')	7
('industry', 'and')	7
('hands', 'of')	7
('the', 'means')	7
('for', 'a')	7
('of', 'its')	7
('of', 'one')	7
('disappearance', 'of')	6
('have', 'been')	6
('the', 'new')	6
('feudal', 'society')	6
('of', 'development')	6
('capital', 'is')	6
('they', 'have')	6
('the', 'exploitation')	6
('to', 'do')	6
('the', 'history')	6
('and', 'political')	6
('is', 'not')	6
('history', 'of')	6
('and', 'communist')	6
('property', 'relations')	6
('in', 'one')	6
('the', 'property')	6
('the', 'population')	6
('that', 'of')	6
('the', 'feudal')	6
('class', 'struggle')	6
('action', 'of')	6
('be', 'the')	6
('bourgeoisie', 'the')	6
('social', 'conditions')	6
('socialist', 'and')	6
('the', 'present')	6
('bourgeoisie', 'itself')	6
('capital', 'and')	6
('the', 'family')	6
('of', 'communism')	6
('the', 'existing')	6
('bourgeoisie', 'is')	6
('just', 'as')	6
('the', 'state')	6
('is', 'a')	6
('the', 'interests')	6
('part', 'of')	6
('old', 'society')	5
('as', 'in')	5
('we', 'have')	5
('have', 'no')	5
('society', 'at')	5
('character', 'of')	5
('in', 'england')	5
('and', 'by')	5
('by', 'a')	5
('community', 'of')	5
('the', 'great')	5
('class', 'and')	5
('social', 'and')	5
('in', 'france')	5
('has', 'not')	5
('this', 'form')	5
('that', 'has')	5
('of', 'capital')	5
('proletariat', 'to')	5
('based', 'on')	5
('society', 'the')	5
('by', 'their')	5
('in', 'place')	5
('in', 'their')	5
('true', 'socialism')	5
('them', 'the')	5
('the', 'petty')	5
('a', 'mere')	5
('of', 'things')	5
('the', 'disappearance')	5
('of', 'your')	5
('industry', 'the')	5
('section', 'of')	5
('sway', 'of')	5
('that', 'are')	5
('in', 'general')	5
('condition', 'for')	5
('over', 'the')	5
('do', 'not')	5
('a', 'new')	5
('division', 'of')	5
('selling', 'and')	5
('property', 'is')	5
('of', 'every')	5
('with', 'which')	5
('but', 'in')	5
('the', 'struggle')	5
('bourgeois', 'and')	5
('it', 'was')	5
('one', 'word')	5
('all', 'these')	5
('only', 'by')	5
('with', 'their')	5
('under', 'which')	5
('in', 'every')	5
('among', 'the')	5
('to', 'this')	5
('a', 'whole')	5
('an', 'end')	5
('of', 'course')	5
('but', 'a')	5
('do', 'away')	5
('conditions', 'for')	5
('which', 'it')	5
('the', 'industrial')	5
('the', 'proletarian')	5
('and', 'buying')	5
('only', 'in')	5
('to', 'them')	5
('has', 'been')	5
('course', 'of')	5
('between', 'the')	4
('a', 'social')	4
('property', 'the')	4
('the', 'revolutionary')	4
('of', 'life')	4
('will', 'of')	4
('the', 'past')	4
('owing', 'to')	4
('are', 'to')	4
('in', 'other')	4
('is', 'no')	4
('as', 'well')	4
('such', 'a')	4
('bourgeois', 'socialism')	4
('and', 'all')	4
('thus', 'the')	4
('the', 'condition')	4
('proletariat', 'as')	4
('bourgeois', 'the')	4
('petty', 'bourgeois')	4
('in', 'which')	4
('demands', 'of')	4
('too', 'much')	4
('life', 'and')	4
('can', 'no')	4
('middle', 'class')	4
('a', 'time')	4
('in', 'all')	4
('the', 'labourer')	4
('a', 'revolutionary')	4
('existing', 'society')	4
('the', 'worldmarket')	4
('than', 'the')	4
('proletariat', 'with')	4
('for', 'all')	4
('other', 'words')	4
('society', 'but')	4
('in', 'his')	4
('absolute', 'monarchy')	4
('proletariat', 'in')	4
('of', 'his')	4
('the', 'course')	4
('bourgeoisie', 'and')	4
('of', 'old')	4
('that', 'it')	4
('it', 'creates')	4
('by', 'this')	4
('workingclass', 'parties')	4
('of', 'that')	4
('of', 'machinery')	4
('the', 'country')	4
('well', 'as')	4
('when', 'the')	4
('and', 'thereby')	4
('class', 'in')	4
('labour', 'in')	4
('of', 'subsistence')	4
('on', 'which')	4
('to', 'attain')	4
('system', 'of')	4
('relation', 'to')	4
('to', 'their')	4
('society', 'in')	4
('at', 'a')	4
('with', 'a')	4
('the', 'aristocracy')	4
('and', 'is')	4
('the', 'benefit')	4
('benefit', 'of')	4
('the', 'sway')	4
('out', 'of')	4
('compelled', 'to')	4
('at', 'large')	4
('the', 'movement')	4
('not', 'the')	4
('the', 'way')	4
('bourgeoisie', 'to')	4
('all', 'that')	4
('those', 'of')	4
